u_offset_px,u_offset,pair_score
-4.0,-0.32,0.5176965080194704
-3.75,-0.3,0.5401609601593824
-3.5,-0.28,0.5431059599131101
-3.25,-0.26,0.5637408534023733
-3.0,-0.24,0.5721210763615774
-2.75,-0.22,0.5956587932258999
-2.5,-0.2,0.6006498201017223
-2.25,-0.18,0.6212508873940014
-2.0,-0.16,0.625594492289275
-1.75,-0.14,0.6439716998667029
-1.5,-0.12,0.6526770260168522
-1.25,-0.1,0.6763259760489136
-1.0,-0.08,0.6776515656170342
-0.75,-0.06,0.7026576214690272
-0.5,-0.04,0.7024963454727476
-0.25,-0.02,0.727782636760558
0.0,0.0,0.7304466170383239
0.25,0.02,0.7511835587202521
0.5,0.04,0.7506008207430437
0.75,0.06,0.7747101417497213
1.0,0.08,0.7735250156726237
1.25,0.1,0.794930392777903
1.5,0.12,0.7932125100487397
1.75,0.14,0.8161934059852116
2.0,0.16,0.812848491559398
2.25,0.18,0.8363433542586327
2.5,0.2,0.8295021281722593
2.75,0.22,0.8499403122568194
3.0,0.24,0.8427215114354465
3.25,0.26,0.8644932814812539
3.5,0.28,0.8555763060264918
3.75,0.3,0.8733203446448741
4.0,0.32,0.8678671910878133
