u_offset_px,u_offset,pair_score
3.0,0.24,0.8201534691539959
3.25,0.26,0.8411252914436556
3.5,0.28,0.8344598026974641
3.75,0.3,0.8573324650393325
4.0,0.32,0.8512066393322173
4.25,0.34,0.871859243688427
4.5,0.36,0.8614371128130028
4.75,0.38,0.8813116485589568
5.0,0.4,0.8700746457454287
5.25,0.42,0.8938997096981067
5.5,0.44,0.8871130207188798
5.75,0.46,0.9024553772955421
6.0,0.48,0.8889687275732885
6.25,0.5,0.8909729796339297
6.5,0.52,0.860276919985002
6.75,0.54,0.8688978696658417
7.0,0.56,0.8429270711367645
7.25,0.58,0.8534007864839295
7.5,0.6,0.8314877749577765
7.75,0.62,0.8360526141686833
8.0,0.64,0.8108545509697938
