u_offset_px,u_offset,pair_score
-20.0,-1.6,-0.09633422199389469
-19.5,-1.56,-0.0923462835358117
-19.0,-1.52,-0.09160507000434621
-18.5,-1.48,-0.06988132425242355
-18.0,-1.44,-0.06204217637991785
-17.5,-1.4000000000000001,-0.050810486504350334
-17.0,-1.36,-0.03381016149759175
-16.5,-1.32,-0.033843200053197985
-16.0,-1.28,-0.008127491581844913
-15.5,-1.24,0.005679915786085321
-15.0,-1.2,0.01507642052957129
-14.5,-1.16,0.01995972721949947
-14.0,-1.12,0.020407083214968445
-13.5,-1.08,0.03644446598181625
-13.0,-1.04,0.04839558915483155
-12.5,-1.0,0.06555591412501703
-12.0,-0.96,0.0802609136010659
-11.5,-0.92,0.09526549233442234
-11.0,-0.88,0.11016449532397429
-10.5,-0.84,0.12878383570919982
-10.0,-0.8,0.15398615977186106
-9.5,-0.76,0.17676810663164433
-9.0,-0.72,0.2039695115082173
-8.5,-0.68,0.22783929605454895
-8.0,-0.64,0.2523807443536623
-7.5,-0.6,0.27203619566384935
-7.0,-0.56,0.29353981991356337
-6.5,-0.52,0.3206532603317414
-6.0,-0.48,0.3455218510476956
-5.5,-0.44,0.3761144649594458
-5.0,-0.4,0.40621728618298725
-4.5,-0.36,0.4342885173945533
-4.0,-0.32,0.46671637973479907
-3.5,-0.28,0.5025171057884741
-3.0,-0.24,0.5326758547441921
-2.5,-0.2,0.560019496354151
-2.0,-0.16,0.5948136544093441
-1.5,-0.12,0.6193432996296481
-1.0,-0.08,0.6468334504319613
-0.5,-0.04,0.6759407211765666
0.0,0.0,0.7028335546128857
0.5,0.04,0.729299523731298
1.0,0.08,0.75054487054583
1.5,0.12,0.776328321393944
2.0,0.16,0.8003526248044832
2.5,0.2,0.8201534691539959
3.0,0.24,0.8344598026974641
3.5,0.28,0.8512066393322173
4.0,0.32,0.8614371128130028
4.5,0.36,0.8700746457454287
5.0,0.4,0.8871130207188798
5.5,0.44,0.8889687275732885
6.0,0.48,0.860276919985002
6.5,0.52,0.8429270711367645
7.0,0.56,0.8314877749577765
7.5,0.6,0.8108545509697938
8.0,0.64,0.7960445471763017
8.5,0.68,0.7796392455445444
9.0,0.72,0.7558483872952648
9.5,0.76,0.734189830836331
10.0,0.8,0.7069501667297429
10.5,0.84,0.687631706927027
11.0,0.88,0.6561448836626713
11.5,0.92,0.6276974533442474
12.0,0.96,0.5904620857735241
12.5,1.0,0.5572634587451745
13.0,1.04,0.5238350930628186
13.5,1.08,0.49361109755238175
14.0,1.12,0.47007195608743546
14.5,1.16,0.43433581184533543
15.0,1.2,0.39858014548622517
15.5,1.24,0.3630113684127434
16.0,1.28,0.33858867776557844
16.5,1.32,0.30075172189690624
17.0,1.36,0.25569445200049334
17.5,1.4000000000000001,0.21906080445364318
18.0,1.44,0.1976704344086645
18.5,1.48,0.15324375407232224
19.0,1.52,0.12649260670363638
19.5,1.56,0.09074564320402168
20.0,1.6,0.0603009439870302
